         电影名称         	  评分  	  年份  	评论人数	短评
            肖申克的救赎            	   9.7    	   1994   	 1726160  	希望让人自由。
             霸王别姬             	   9.6    	   1993   	 1276023  	风华绝代。
             阿甘正传             	   9.5    	   1994   	 1332611  	一部美国近现代史。
           这个杀手不太冷            	   9.4    	   1994   	 1526891  	怪蜀黍和小萝莉不得不说的故事。
             美丽人生             	   9.5    	   1997   	  778081  	最美的谎言。
            泰坦尼克号             	   9.4    	   1997   	 1268791  	失去的才是永恒的。 
             千与千寻             	   9.3    	   2001   	 1359404  	最好的宫崎骏，最好的久石让。 
            辛德勒的名单            	   9.5    	   1993   	  685439  	拯救一个人，就是拯救整个世界。
             盗梦空间             	   9.3    	   2010   	 1299839  	诺兰给了我们一场无法盗取的梦。
           忠犬八公的故事            	   9.3    	   2009   	  880439  	永远都不能忘记你所爱的人。
            海上钢琴师             	   9.3    	   1998   	 1057004  	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
            机器人总动员            	   9.3    	   2008   	  859459  	小瓦力，大人生。
           三傻大闹宝莱坞            	   9.2    	   2009   	 1177064  	英俊版憨豆，高情商版谢耳朵。
            楚门的世界             	   9.3    	   1998   	  927514  	如果再也不能见到你，祝你早安，午安，晚安。
            放牛班的春天            	   9.3    	   2004   	  824222  	天籁一般的童声，是最接近上帝的存在。 
             星际穿越             	   9.3    	   2014   	  944500  	爱是一种力量，让我们超越时空感知它的存在。
          大话西游之大圣娶亲           	   9.2    	   1995   	  923829  	一生所爱。
              熔炉              	   9.3    	   2011   	  557598  	我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
              龙猫              	   9.2    	   1988   	  800814  	人人心中都有个龙猫，童年就永远不会消失。
             无间道              	   9.2    	   2002   	  757840  	香港电影史上永不过时的杰作。
              教父              	   9.3    	   1972   	  586201  	千万不要记恨你的对手，这样会让你失去理智。
            疯狂动物城             	   9.2    	   2016   	 1081684  	迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
            当幸福来敲门            	   9.1    	   2006   	  953841  	平民励志片。 
             怦然心动             	   9.0    	   2010   	 1080776  	真正的幸福是来自内心深处。
             触不可及             	   9.2    	   2011   	  624852  	满满温情的高雅喜剧。
           蝙蝠侠：黑暗骑士           	   9.2    	   2008   	  636051  	无尽的黑暗。
              活着              	   9.2    	   1994   	  491723  	张艺谋最好的电影。
             控方证人             	   9.6    	   1957   	  229365  	比利·怀德满分作品。
             乱世佳人             	   9.3    	   1939   	  425140  	Tomorrow is another day.
           少年派的奇幻漂流           	   9.0    	   2012   	  921926  	瑰丽壮观、无人能及的冒险之旅。
            摔跤吧！爸爸            	   9.0    	   2016   	  949609  	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
          指环王3：王者无敌           	   9.2    	   2003   	  467899  	史诗的终章。
            飞屋环游记             	   9.0    	   2009   	  843244  	最后那些最无聊的事情，才是最值得怀念的。 
             鬼子来了             	   9.2    	   2000   	  395006  	对敌人的仁慈，就是对自己残忍。
             十二怒汉             	   9.4    	   1957   	  281735  	1957年的理想主义。 
             天空之城             	   9.1    	   1986   	  542406  	对天空的追逐，永不停止。 
            寻梦环游记             	   9.1    	   2017   	  904661  	死亡不是真的逝去，遗忘才是永恒的消亡。
             末代皇帝             	   9.2    	   1987   	  411296  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
            天堂电影院             	   9.2    	   1988   	  440560  	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
          大话西游之月光宝盒           	   9.0    	   1995   	  746118  	旷古烁今。
           哈尔的移动城堡            	   9.0    	   2004   	  614939  	带着心爱的人在天空飞翔。
             罗马假日             	   9.0    	   1953   	  622654  	爱情哪怕只有一天。
            搏击俱乐部             	   9.0    	   1999   	  578747  	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
            闻香识女人             	   9.0    	   1992   	  537002  	史上最美的探戈。
              素媛              	   9.2    	   2013   	  366671  	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
             辩护人              	   9.2    	   2013   	  374175  	电影的现实意义大过电影本身。
             何以为家             	   9.1    	   2018   	  456617  	凝视卑弱生命，用电影改变命运。
             窃听风暴             	   9.1    	   2006   	  365963  	别样人生。
             死亡诗社             	   9.1    	   1989   	  445471  	当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
             教父2              	   9.2    	   1974   	  320276  	优雅的孤独。
            两杆大烟枪             	   9.1    	   1998   	  391697  	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
          指环王2：双塔奇兵           	   9.1    	   2002   	  433011  	承前启后的史诗篇章。
            飞越疯人院             	   9.1    	   1975   	  395829  	自由万岁。
             狮子王              	   9.0    	   1994   	  484750  	动物版《哈姆雷特》。
          指环王1：魔戒再现           	   9.0    	   2001   	  486728  	传说的开始。
            V字仇杀队             	   8.9    	   2005   	  684702  	一张面具背后的理想与革命。
             美丽心灵             	   9.0    	   2001   	  478314  	爱是一切逻辑和原由。
             饮食男女             	   9.1    	   1994   	  346055  	人生不能像做菜，把所有的料都准备好了才下锅。
